input 0, model gemma3:4b, multimodal True, temp 0, question_time 5.0179431438446045, answer /gpt-mission-planner/app/gpt_outputs/tmpqj3t0mk4, ret 5.364554405212402, answer /gpt-mission-planner/app/gpt_outputs/tmpsd_9yoga, ret 5.73991322517395, answer /gpt-mission-planner/app/gpt_outputs/tmp_08pj6tx, ret 5.761718034744263, answer /gpt-mission-planner/app/gpt_outputs/tmpsvlwd_0m, ret 1.2565727233886719, answer /gpt-mission-planner/app/gpt_outputs/tmphp2mr3f_, ret 1.0821406841278076, answer /gpt-mission-planner/app/gpt_outputs/tmprx3rfd2i, ret 0.9518718719482422, answer /gpt-mission-planner/app/gpt_outputs/tmpy6198nlf, ret 0.4638633728027344, answer /gpt-mission-planner/app/gpt_outputs/tmpctp9x8d8, ret 0.6822960376739502, answer /gpt-mission-planner/app/gpt_outputs/tmpdwb117l3, ret 0.6032845973968506, answer /gpt-mission-planner/app/gpt_outputs/tmpvgi08pp5, ret 0.8664243221282959, answer /gpt-mission-planner/app/gpt_outputs/tmpgrpwz_bk, succ False
input 1, model gemma3:4b, multimodal True, temp 0, question_time 8.438871145248413, answer /gpt-mission-planner/app/gpt_outputs/tmp47zqpzyj, ret 6.903905153274536, answer /gpt-mission-planner/app/gpt_outputs/tmp6zunpeof, ret 6.8892152309417725, answer /gpt-mission-planner/app/gpt_outputs/tmp4ros3ics, ret 7.191718339920044, answer /gpt-mission-planner/app/gpt_outputs/tmp3mpb64sd, ret 7.159562826156616, answer /gpt-mission-planner/app/gpt_outputs/tmpda3z602b, ret 7.174336910247803, answer /gpt-mission-planner/app/gpt_outputs/tmp8msitf10, ret 7.144040107727051, answer /gpt-mission-planner/app/gpt_outputs/tmpip1tn851, ret 7.16369104385376, answer /gpt-mission-planner/app/gpt_outputs/tmpbmma4tis, ret 7.15856671333313, answer /gpt-mission-planner/app/gpt_outputs/tmpm2hv1lbh, ret 7.163889646530151, answer /gpt-mission-planner/app/gpt_outputs/tmpdawprtrp, ret 7.16477370262146, answer /gpt-mission-planner/app/gpt_outputs/tmp7wupn5lc, succ False
input 2, model gemma3:4b, multimodal True, temp 0, question_time 19.504610776901245, answer /gpt-mission-planner/app/gpt_outputs/tmpv38srl2i, ret 5.1621081829071045, answer /gpt-mission-planner/app/gpt_outputs/tmp6dtc3ete, ret 4.639631271362305, answer /gpt-mission-planner/app/gpt_outputs/tmphxhh8ja4, ret 1.3702113628387451, answer /gpt-mission-planner/app/gpt_outputs/tmpsuxdsm_w, ret 3.874582052230835, answer /gpt-mission-planner/app/gpt_outputs/tmpxe5gb3hn, ret 1.9918596744537354, answer /gpt-mission-planner/app/gpt_outputs/tmpnyy9n7en, ret 1.6521120071411133, answer /gpt-mission-planner/app/gpt_outputs/tmpupd03lec, ret 1.3956928253173828, answer /gpt-mission-planner/app/gpt_outputs/tmp3qif7drj, ret 1.722639560699463, answer /gpt-mission-planner/app/gpt_outputs/tmpler8dypw, ret 1.7451701164245605, answer /gpt-mission-planner/app/gpt_outputs/tmp2fbr4te6, ret 1.4740006923675537, answer /gpt-mission-planner/app/gpt_outputs/tmpn9bfu81_, succ False
input 3, model gemma3:4b, multimodal True, temp 0, question_time 6.249662399291992, answer /gpt-mission-planner/app/gpt_outputs/tmp81wljqjk, ret 4.501863479614258, answer /gpt-mission-planner/app/gpt_outputs/tmpzhsi41cl, ret 4.568671941757202, answer /gpt-mission-planner/app/gpt_outputs/tmp3l8ynb4z, ret 4.998718738555908, answer /gpt-mission-planner/app/gpt_outputs/tmp35r489bw, ret 4.977007150650024, answer /gpt-mission-planner/app/gpt_outputs/tmpc1ril2ud, ret 5.189598798751831, answer /gpt-mission-planner/app/gpt_outputs/tmpvh2sihio, ret 5.493156671524048, answer /gpt-mission-planner/app/gpt_outputs/tmp4d5h9lmj, ret 4.814794301986694, answer /gpt-mission-planner/app/gpt_outputs/tmphlikqlw6, ret 2.5407187938690186, answer /gpt-mission-planner/app/gpt_outputs/tmp8cx0hay1, ret 2.681164026260376, answer /gpt-mission-planner/app/gpt_outputs/tmpc_ahqjyx, ret 2.811450242996216, answer /gpt-mission-planner/app/gpt_outputs/tmpcaq158rr, succ False
input 4, model gemma3:4b, multimodal True, temp 0, question_time 4.365015029907227, answer /gpt-mission-planner/app/gpt_outputs/tmpl8cy7_q2, ret 4.94271183013916, answer /gpt-mission-planner/app/gpt_outputs/tmpsjabk7qa, ret 5.125896215438843, answer /gpt-mission-planner/app/gpt_outputs/tmph7mgq25n, ret 5.290595531463623, answer /gpt-mission-planner/app/gpt_outputs/tmpuak9w1pm, ret 5.651238918304443, answer /gpt-mission-planner/app/gpt_outputs/tmp76sj4bw5, ret 5.480257272720337, answer /gpt-mission-planner/app/gpt_outputs/tmplp45kntm, ret 5.385943651199341, answer /gpt-mission-planner/app/gpt_outputs/tmp7da6gysq, ret 5.452348709106445, answer /gpt-mission-planner/app/gpt_outputs/tmp8ljxgfjs, ret 5.348560810089111, answer /gpt-mission-planner/app/gpt_outputs/tmplac_560x, ret 5.305292367935181, answer /gpt-mission-planner/app/gpt_outputs/tmpdch685s2, ret 5.3849828243255615, answer /gpt-mission-planner/app/gpt_outputs/tmpjou0dh9q, succ False
input 5, model gemma3:4b, multimodal True, temp 0, question_time 4.450266599655151, answer /gpt-mission-planner/app/gpt_outputs/tmpy1zlc6a3, ret 5.074143648147583, answer /gpt-mission-planner/app/gpt_outputs/tmpy6kvhm_5, ret 5.570553779602051, answer /gpt-mission-planner/app/gpt_outputs/tmpgc6rq1fn, ret 6.231630802154541, answer /gpt-mission-planner/app/gpt_outputs/tmpy17e2qm2, ret 5.550926446914673, answer /gpt-mission-planner/app/gpt_outputs/tmpbboq0m75, ret 5.688167333602905, answer /gpt-mission-planner/app/gpt_outputs/tmph3van48h, ret 6.225748538970947, answer /gpt-mission-planner/app/gpt_outputs/tmphcgemeoe, ret 7.049784898757935, answer /gpt-mission-planner/app/gpt_outputs/tmpwljari1g, ret 6.690653324127197, answer /gpt-mission-planner/app/gpt_outputs/tmp4k69k1t9, ret 6.535548686981201, answer /gpt-mission-planner/app/gpt_outputs/tmpcd7q5dgu, ret 6.310259819030762, answer /gpt-mission-planner/app/gpt_outputs/tmptuvoocst, succ False
input 6, model gemma3:4b, multimodal True, temp 0, question_time 8.857738494873047, answer /gpt-mission-planner/app/gpt_outputs/tmpoy3fh4dq, ret 7.272977352142334, answer /gpt-mission-planner/app/gpt_outputs/tmpuskuxdr3, ret 7.232609272003174, answer /gpt-mission-planner/app/gpt_outputs/tmpknun5uto, ret 6.815972566604614, answer /gpt-mission-planner/app/gpt_outputs/tmp42jb8p1v, ret 7.260840654373169, answer /gpt-mission-planner/app/gpt_outputs/tmpegv66yyc, ret 7.567164182662964, answer /gpt-mission-planner/app/gpt_outputs/tmp23kg5z8m, ret 7.491653203964233, answer /gpt-mission-planner/app/gpt_outputs/tmpellheam6, ret 7.867666721343994, answer /gpt-mission-planner/app/gpt_outputs/tmpmp1z5q1f, ret 7.751777410507202, answer /gpt-mission-planner/app/gpt_outputs/tmp2ea84zzd, ret 7.3706958293914795, answer /gpt-mission-planner/app/gpt_outputs/tmpb1e8l6_q, ret 7.381335973739624, answer /gpt-mission-planner/app/gpt_outputs/tmpj26r7ton, succ False
input 7, model gemma3:4b, multimodal True, temp 0, question_time 5.254137754440308, answer /gpt-mission-planner/app/gpt_outputs/tmp72sg3jm0, ret 4.436361789703369, answer /gpt-mission-planner/app/gpt_outputs/tmp6mm5lgbf, ret 4.229047536849976, answer /gpt-mission-planner/app/gpt_outputs/tmpo2pbgb52, ret 4.387994766235352, answer /gpt-mission-planner/app/gpt_outputs/tmp2li6qwmd, ret 4.484450578689575, answer /gpt-mission-planner/app/gpt_outputs/tmpn9ug8ty2, ret 0.7529268264770508, answer /gpt-mission-planner/app/gpt_outputs/tmpb4o2549f, ret 0.5819511413574219, answer /gpt-mission-planner/app/gpt_outputs/tmp1orq1ovg, ret 0.5853321552276611, answer /gpt-mission-planner/app/gpt_outputs/tmpnyacfo3k, ret 0.7842779159545898, answer /gpt-mission-planner/app/gpt_outputs/tmppoo_oig_, ret 0.5916762351989746, answer /gpt-mission-planner/app/gpt_outputs/tmpazndzp3w, ret 0.595196008682251, answer /gpt-mission-planner/app/gpt_outputs/tmp5fsl0577, succ False
input 8, model gemma3:4b, multimodal True, temp 0, question_time 11.371631383895874, answer /gpt-mission-planner/app/gpt_outputs/tmpxvb7in_1, ret 9.74973201751709, answer /gpt-mission-planner/app/gpt_outputs/tmplb0uek3z, ret 8.27013897895813, answer /gpt-mission-planner/app/gpt_outputs/tmpvmjo3pm8, ret 8.237568855285645, answer /gpt-mission-planner/app/gpt_outputs/tmpz4q3mn3u, ret 2.1058011054992676, answer /gpt-mission-planner/app/gpt_outputs/tmpayfstcj7, ret 2.042581558227539, answer /gpt-mission-planner/app/gpt_outputs/tmpel8p8ofq, ret 1.911214828491211, answer /gpt-mission-planner/app/gpt_outputs/tmp5gootf0w, ret 2.3625941276550293, answer /gpt-mission-planner/app/gpt_outputs/tmpjs3qed2h, ret 2.334468126296997, answer /gpt-mission-planner/app/gpt_outputs/tmp3iwqxpnv, ret 1.1937987804412842, answer /gpt-mission-planner/app/gpt_outputs/tmp8dipvpzk, ret 2.0733847618103027, answer /gpt-mission-planner/app/gpt_outputs/tmpistnpfzw, succ False
input 9, model gemma3:4b, multimodal True, temp 0, question_time 3.978447675704956, answer /gpt-mission-planner/app/gpt_outputs/tmpa0iglvl8, ret 4.566643238067627, answer /gpt-mission-planner/app/gpt_outputs/tmpzpm0t655, ret 5.07231068611145, answer /gpt-mission-planner/app/gpt_outputs/tmp_jtnbidl, ret 5.317077875137329, answer /gpt-mission-planner/app/gpt_outputs/tmp3w1o_sp4, ret 5.8223185539245605, answer /gpt-mission-planner/app/gpt_outputs/tmp7znn2a1t, ret 6.089759588241577, answer /gpt-mission-planner/app/gpt_outputs/tmpsjb8fpqg, ret 6.2940802574157715, answer /gpt-mission-planner/app/gpt_outputs/tmpbq27tsld, ret 3.383610725402832, answer /gpt-mission-planner/app/gpt_outputs/tmpksui26yh, ret 2.375197649002075, answer /gpt-mission-planner/app/gpt_outputs/tmpma5mi3op, ret 2.4584202766418457, answer /gpt-mission-planner/app/gpt_outputs/tmpoac0xg81, ret 2.5895490646362305, answer /gpt-mission-planner/app/gpt_outputs/tmpjh1pkhh7, succ False
input 10, model gemma3:4b, multimodal True, temp 0, question_time 4.1768693923950195, answer /gpt-mission-planner/app/gpt_outputs/tmpgv6ka0iy, ret 4.73181676864624, answer /gpt-mission-planner/app/gpt_outputs/tmptrs5o3c5, ret 5.182990074157715, answer /gpt-mission-planner/app/gpt_outputs/tmp5uzqsdbt, ret 5.516624927520752, answer /gpt-mission-planner/app/gpt_outputs/tmpmb_w_k3r, ret 5.724075078964233, answer /gpt-mission-planner/app/gpt_outputs/tmp3oxb5jf9, ret 2.8186724185943604, answer /gpt-mission-planner/app/gpt_outputs/tmp9r6heqyx, ret 2.7449331283569336, answer /gpt-mission-planner/app/gpt_outputs/tmp5332evj3, ret 2.7691547870635986, answer /gpt-mission-planner/app/gpt_outputs/tmplbbopniz, ret 3.187255859375, answer /gpt-mission-planner/app/gpt_outputs/tmpjdr5ql5n, ret 3.0952281951904297, answer /gpt-mission-planner/app/gpt_outputs/tmpaawv5bk3, ret 3.6055707931518555, answer /gpt-mission-planner/app/gpt_outputs/tmp3zox9gom, succ False
input 0, model gemma3:4b, multimodal True, temp 0.25, question_time 8.4548659324646, answer /gpt-mission-planner/app/gpt_outputs/tmprak4kfpu, ret 6.320740699768066, answer /gpt-mission-planner/app/gpt_outputs/tmp4jjc63e4, ret 6.007711887359619, answer /gpt-mission-planner/app/gpt_outputs/tmpqps5hd01, ret 5.703858375549316, answer /gpt-mission-planner/app/gpt_outputs/tmp23md5eip, ret 5.73792576789856, answer /gpt-mission-planner/app/gpt_outputs/tmpekcpgpva, ret 5.711923599243164, answer /gpt-mission-planner/app/gpt_outputs/tmpfz6m8qwt, ret 5.7369537353515625, answer /gpt-mission-planner/app/gpt_outputs/tmptnbhw1s4, ret 5.725340366363525, answer /gpt-mission-planner/app/gpt_outputs/tmpuq6vxfbn, ret 5.7167887687683105, answer /gpt-mission-planner/app/gpt_outputs/tmpckgko242, ret 5.724214315414429, answer /gpt-mission-planner/app/gpt_outputs/tmpp1q1iehn, ret 5.7344512939453125, answer /gpt-mission-planner/app/gpt_outputs/tmpt61flkgm, succ False
input 1, model gemma3:4b, multimodal True, temp 0.25, question_time 6.857457399368286, answer /gpt-mission-planner/app/gpt_outputs/tmphh6nc0ny, ret 4.951704740524292, answer /gpt-mission-planner/app/gpt_outputs/tmp9o5q6adk, ret 4.943326234817505, answer /gpt-mission-planner/app/gpt_outputs/tmp32fettgt, ret 5.130143404006958, answer /gpt-mission-planner/app/gpt_outputs/tmp_z4fal41, ret 5.097322940826416, answer /gpt-mission-planner/app/gpt_outputs/tmpmy8n0_jj, ret 2.4259660243988037, answer /gpt-mission-planner/app/gpt_outputs/tmpgvwaspk3, ret 2.8613219261169434, answer /gpt-mission-planner/app/gpt_outputs/tmpto0esze4, ret 1.8778715133666992, answer /gpt-mission-planner/app/gpt_outputs/tmpmznv1htn, ret 2.0448250770568848, answer /gpt-mission-planner/app/gpt_outputs/tmpavceru1q, ret 1.5791053771972656, answer /gpt-mission-planner/app/gpt_outputs/tmpww_eip8n, ret 1.7812507152557373, answer /gpt-mission-planner/app/gpt_outputs/tmpjlpw2opk, succ False
